,date,abrupt,gradual,gradual-noisy-20,value_noisy
0,2025-01-01,19.57806574,12.5,27.51410586,11.785195073617226
1,2025-01-02,19.35837787,13.42171717,-6.620099015,29.630800957361863
2,2025-01-03,19.22840824,13.47402597,22.12213444,13.981178407261009
3,2025-01-04,19.72712992,13.47402597,13.86373547,15.01822948536442
4,2025-01-05,20.77371616,14.50577201,8.884535107,32.51630678905602
5,2025-01-06,20.75230287,14.70959596,33.0677952,23.109796293823305
6,2025-01-07,19.71306582,14.78354978,9.225506511,14.03632298018068
7,2025-01-08,20.73688557,16.3546176,18.46599754,21.411444472970867
8,2025-01-09,19.16744114,17.37012987,13.81733201,5.90521439807141
9,2025-01-10,19.03946868,16.49350649,32.73777454,15.25603879086271
10,2025-01-11,18.12814854,15.62049062,-24.06336715,35.30521272085576
11,2025-01-12,20.7421822,16.86868687,16.48884039,21.491274934653397
12,2025-01-13,18.84732681,19.68614719,-21.34843539,46.03288337967417
13,2025-01-14,20.87463488,21.56024531,35.59581439,37.71192214534623
14,2025-01-15,19.07265499,22.56493506,37.30261718,23.137702243243677
15,2025-01-16,21.76947355,21.40151515,44.28614572,23.941770657340765
16,2025-01-17,21.02238103,22.18975469,19.76443401,17.770493856171743
17,2025-01-18,19.9604885,24.23069986,46.51325594,25.96261746490282
18,2025-01-19,20.77150427,24.83766234,30.68962262,22.846783815972042
19,2025-01-20,19.27518012,22.92929293,40.10926813,16.850477328229942
20,2025-01-21,18.72505737,21.66305916,-6.851066261,34.300667492259535
21,2025-01-22,19.51661018,24.38852814,15.80974264,39.15655036664359
22,2025-01-23,20.59378622,26.77609428,3.58661516,10.337647112662957
23,2025-01-24,18.83604218,27.43506494,34.5933756,24.669228505936363
24,2025-01-25,19.89705674,24.44083694,25.73964796,12.195939307057607
25,2025-01-26,19.79648527,21.28878066,25.40452397,27.716003345684413
26,2025-01-27,19.04421061,18.34415584,17.64282863,-3.174276711894265
27,2025-01-28,18.45009992,20.06493506,23.55069011,29.002383967027598
28,2025-01-29,20.43139105,20.31385281,14.90670734,11.677882507839197
29,2025-01-30,16.83467287,15.85858586,41.96366764,23.885941818856715
30,2025-01-31,21.01151143,14.44805195,39.37017753,13.197832955237834
31,2025-02-01,20.12696339,16.72438672,51.66527747,6.196067113207757
32,2025-02-02,20.3897731,19.96753247,3.675852216,26.202433202380462
33,2025-02-03,19.08463433,15.62770563,44.10004255,22.41069491286371
34,2025-02-04,17.50843546,12.49519,-20.00175334,8.766547065479227
35,2025-02-05,19.61205927,10.87662338,31.33098394,15.693053634783805
36,2025-02-06,19.55866559,13.34415584,20.02509001,14.020629279260703
37,2025-02-07,18.70428698,15.10371573,28.02534234,4.519528784442787
38,2025-02-08,20.14920758,13.87806638,-25.33764946,17.075082889745918
39,2025-02-09,17.76873302,12.17532468,30.08451846,23.214658608620063
40,2025-02-10,18.1797731,14.55627706,17.44765394,25.098805689054984
41,2025-02-11,19.62536586,16.002886,-5.38021929,36.495108750553825
42,2025-02-12,19.97919982,13.32251082,21.47487392,11.071164859808452
43,2025-02-13,20.58047091,13.17279942,-26.58019711,14.90969888035647
44,2025-02-14,21.01513655,15.36435786,37.48442561,21.418720024284212
45,2025-02-15,22.10638775,18.58766234,-10.61658807,22.954652589827692
46,2025-02-16,21.5083052,18.47763348,8.594492097,15.233379472216058
47,2025-02-17,17.9765159,16.62818663,-1.788486766,23.96715218939792
48,2025-02-18,20.69811543,15.42207792,23.57727297,1.637199802729853
49,2025-02-19,20.09391816,17.43867244,9.512868806,12.631371325172196
50,2025-02-20,18.85960048,19.64285714,28.80990987,21.94869004861673
51,2025-02-21,20.88855237,16.79112554,23.11605325,33.04264968538733
52,2025-02-22,19.74299909,16.3961039,26.36339052,9.842414415875126
53,2025-02-23,18.31920044,20.59163059,42.06030338,4.1291713780703745
54,2025-02-24,22.26392114,23.21428571,-27.82712861,19.065268453712594
55,2025-02-25,19.67822979,21.45562771,-8.128443623,31.438414948145002
56,2025-02-26,18.69166809,20.29220779,5.24587729,21.43648303761379
57,2025-02-27,21.12814125,31.41774892,4.253873095,30.478171532368435
58,2025-02-28,19.98552957,32.95454545,37.04872386,24.48934021031357
59,2025-03-01,79.01504842,30.11994949,29.747674,24.647421924038042
60,2025-03-02,79.24752015,25.81168831,34.99616032,25.245458208961935
61,2025-03-03,79.83401939,30.20021645,64.65191547,15.587437262620739
62,2025-03-04,80.89690385,34.25324675,65.31337988,30.106520103837273
63,2025-03-05,79.39213036,33.97727273,45.55667816,54.57471108346483
64,2025-03-06,78.68687455,30.98484848,32.06963849,30.315056482665184
65,2025-03-07,80.96077922,29.70779221,45.99414998,36.40481050256663
66,2025-03-08,79.51869732,34.72943723,72.49606966,38.41927594449155
67,2025-03-09,79.25596713,36.82840308,63.20867253,33.24099060809952
68,2025-03-10,79.36397861,35.52308802,48.11834241,45.85560851794007
69,2025-03-11,82.53186015,32.05627706,21.96637998,40.68728622868744
70,2025-03-12,79.13981524,31.06060606,55.90875811,37.171976382823736
71,2025-03-13,80.23179402,38.63275613,13.23628551,34.81258774503609
72,2025-03-14,79.61291138,39.18831169,18.94134017,39.2902297840692
73,2025-03-15,80.34223593,35.08658009,42.72092566,42.5210703813186
74,2025-03-16,80.26004352,30.35714286,97.83203771,28.604531248875684
