date,value
2025-01-01,12.5
2025-01-02,13.42171717
2025-01-03,13.47402597
2025-01-04,13.47402597
2025-01-05,14.50577201
2025-01-06,14.70959596
2025-01-07,14.78354978
2025-01-08,16.3546176
2025-01-09,17.37012987
2025-01-10,16.49350649
2025-01-11,15.62049062
2025-01-12,16.86868687
2025-01-13,19.68614719
2025-01-14,21.56024531
2025-01-15,22.56493506
2025-01-16,21.40151515
2025-01-17,22.18975469
2025-01-18,24.23069986
2025-01-19,24.83766234
2025-01-20,22.92929293
2025-01-21,21.66305916
2025-01-22,24.38852814
2025-01-23,26.77609428
2025-01-24,27.43506494
2025-01-25,24.44083694
2025-01-26,21.28878066
2025-01-27,18.34415584
2025-01-28,20.06493506
2025-01-29,20.31385281
2025-01-30,15.85858586
2025-01-31,14.44805195
2025-02-01,16.72438672
2025-02-02,19.96753247
2025-02-03,15.62770563
2025-02-04,12.49519
2025-02-05,10.87662338
2025-02-06,13.34415584
2025-02-07,15.10371573
2025-02-08,13.87806638
2025-02-09,12.17532468
2025-02-10,14.55627706
2025-02-11,16.002886
2025-02-12,13.32251082
2025-02-13,13.17279942
2025-02-14,15.36435786
2025-02-15,18.58766234
2025-02-16,18.47763348
2025-02-17,16.62818663
2025-02-18,15.42207792
2025-02-19,17.43867244
2025-02-20,19.64285714
2025-02-21,16.79112554
2025-02-22,16.3961039
2025-02-23,20.59163059
2025-02-24,23.21428571
2025-02-25,21.45562771
2025-02-26,20.29220779
2025-02-27,31.41774892
2025-02-28,32.95454545
2025-03-01,30.11994949
2025-03-02,25.81168831
2025-03-03,30.20021645
2025-03-04,34.25324675
2025-03-05,33.97727273
2025-03-06,30.98484848
2025-03-07,29.70779221
2025-03-08,34.72943723
2025-03-09,36.82840308
2025-03-10,35.52308802
2025-03-11,32.05627706
2025-03-12,31.06060606
2025-03-13,38.63275613
2025-03-14,39.18831169
2025-03-15,35.08658009
2025-03-16,30.35714286
2025-03-17,40.74675325
2025-03-18,38.38744589
2025-03-19,33.02489177
2025-03-20,28.59307359
2025-03-21,29.36778499
2025-03-22,33.65800866
2025-03-23,30.79545455
2025-03-24,21.07864358
2025-03-25,20.78282828
2025-03-26,25.46536797
2025-03-27,26.62337662
2025-03-28,18.25036075
2025-03-29,19.14772727
2025-03-30,22.77417027
2025-03-31,16.94083694
2025-04-01,15.66558442
2025-04-02,19.75829726
2025-04-03,23.32972583
2025-04-04,21.9047619
2025-04-05,18.71572872
2025-04-06,18.68235931
2025-04-07,23.14935065
2025-04-08,28.25036075
2025-04-09,24.37590188
2025-04-10,20.94155844
2025-04-11,22.16810967
2025-04-12,36.82178932
2025-04-13,35.254329
2025-04-14,31.45683021
2025-04-15,37.11038961
2025-04-16,58.50468975
2025-04-17,58.1547619
2025-04-18,55.69760101
2025-04-19,53.51731602
2025-04-20,59.54365079
2025-04-21,70.94155844
2025-04-22,69.72727273
2025-04-23,67.71404521
2025-04-24,65.13077201
2025-04-25,82.42424242
2025-04-26,80.00766595
2025-04-27,77.60822511
2025-04-28,74.74025974
2025-04-29,79.94949495
2025-04-30,85.51154401
2025-05-01,82.9978355
2025-05-02,80.51767677
2025-05-03,90.46536797
2025-05-04,91.98593074
2025-05-05,89.76551227
2025-05-06,87.59018759
2025-05-07,86.52597403
2025-05-08,92.37012987
2025-05-09,90.94877345
2025-05-10,88.40367965
2025-05-11,87.5
2025-05-12,87.82467532
2025-05-13,85.72510823
2025-05-14,86.8975469
2025-05-15,85.8008658
2025-05-16,77.19155844
2025-05-17,76.34199134
2025-05-18,78.40909091
2025-05-19,66.58549784
2025-05-20,62.04274892
2025-05-21,61.34559885
2025-05-22,63.75108225
2025-05-23,67.16450216
2025-05-24,55.93434343
2025-05-25,53.40909091
2025-05-26,55.33008658
2025-05-27,58.58946609
2025-05-28,59.35064935
2025-05-29,36.2012987
2025-05-30,37.69155844
2025-05-31,41.23376623
2025-06-01,45.67550505
2025-06-02,25.81168831
2025-06-03,26.9619666
2025-06-04,28.75747269
2025-06-05,30.94737053
2025-06-06,33.21669072
2025-06-07,23.65349928
2025-06-08,24.81511544
2025-06-09,26.77895022
2025-06-10,29.13059163
2025-06-11,24.83345358
2025-06-12,20.29220779
2025-06-13,21.18145743
2025-06-14,23.26479076
2025-06-15,26.35281385
2025-06-16,20.76839827
2025-06-17,17.69480519
2025-06-18,18.32972583
2025-06-19,22.00877826
2025-06-20,24.71139971
2025-06-21,18.46590909
2025-06-22,18.17580568
2025-06-23,21.02453102
2025-06-24,23.84199134
2025-06-25,22.36652237
2025-06-26,20.61688312
2025-06-27,20.97808442
2025-06-28,22.44949495
2025-06-29,23.48665224
2025-06-30,22.24025974
