date,abrupt,gradual
2025-01-01,19.57806574,12.5
2025-01-02,19.35837787,13.42171717
2025-01-03,19.22840824,13.47402597
2025-01-04,19.72712992,13.47402597
2025-01-05,20.77371616,14.50577201
2025-01-06,20.75230287,14.70959596
2025-01-07,19.71306582,14.78354978
2025-01-08,20.73688557,16.3546176
2025-01-09,19.16744114,17.37012987
2025-01-10,19.03946868,16.49350649
2025-01-11,18.12814854,15.62049062
2025-01-12,20.7421822,16.86868687
2025-01-13,18.84732681,19.68614719
2025-01-14,20.87463488,21.56024531
2025-01-15,19.07265499,22.56493506
2025-01-16,21.76947355,21.40151515
2025-01-17,21.02238103,22.18975469
2025-01-18,19.9604885,24.23069986
2025-01-19,20.77150427,24.83766234
2025-01-20,19.27518012,22.92929293
2025-01-21,18.72505737,21.66305916
2025-01-22,19.51661018,24.38852814
2025-01-23,20.59378622,26.77609428
2025-01-24,18.83604218,27.43506494
2025-01-25,19.89705674,24.44083694
2025-01-26,19.79648527,21.28878066
2025-01-27,19.04421061,18.34415584
2025-01-28,18.45009992,20.06493506
2025-01-29,20.43139105,20.31385281
2025-01-30,16.83467287,15.85858586
2025-01-31,21.01151143,14.44805195
2025-02-01,20.12696339,16.72438672
2025-02-02,20.3897731,19.96753247
2025-02-03,19.08463433,15.62770563
2025-02-04,17.50843546,12.49519
2025-02-05,19.61205927,10.87662338
2025-02-06,19.55866559,13.34415584
2025-02-07,18.70428698,15.10371573
2025-02-08,20.14920758,13.87806638
2025-02-09,17.76873302,12.17532468
2025-02-10,18.1797731,14.55627706
2025-02-11,19.62536586,16.002886
2025-02-12,19.97919982,13.32251082
2025-02-13,20.58047091,13.17279942
2025-02-14,21.01513655,15.36435786
2025-02-15,22.10638775,18.58766234
2025-02-16,21.5083052,18.47763348
2025-02-17,17.9765159,16.62818663
2025-02-18,20.69811543,15.42207792
2025-02-19,20.09391816,17.43867244
2025-02-20,18.85960048,19.64285714
2025-02-21,20.88855237,16.79112554
2025-02-22,19.74299909,16.3961039
2025-02-23,18.31920044,20.59163059
2025-02-24,22.26392114,23.21428571
2025-02-25,19.67822979,21.45562771
2025-02-26,18.69166809,20.29220779
2025-02-27,21.12814125,31.41774892
2025-02-28,19.98552957,32.95454545
2025-03-01,79.01504842,30.11994949
2025-03-02,79.24752015,25.81168831
2025-03-03,79.83401939,30.20021645
2025-03-04,80.89690385,34.25324675
2025-03-05,79.39213036,33.97727273
2025-03-06,78.68687455,30.98484848
2025-03-07,80.96077922,29.70779221
2025-03-08,79.51869732,34.72943723
2025-03-09,79.25596713,36.82840308
2025-03-10,79.36397861,35.52308802
2025-03-11,82.53186015,32.05627706
2025-03-12,79.13981524,31.06060606
2025-03-13,80.23179402,38.63275613
2025-03-14,79.61291138,39.18831169
2025-03-15,80.34223593,35.08658009
2025-03-16,80.26004352,30.35714286
2025-03-17,79.4906739,40.74675325
2025-03-18,79.10100477,38.38744589
2025-03-19,80.225788,33.02489177
2025-03-20,78.90524478,28.59307359
2025-03-21,80.19985568,29.36778499
2025-03-22,78.18152533,33.65800866
2025-03-23,78.03499065,30.79545455
2025-03-24,82.27575605,21.07864358
2025-03-25,81.36436577,20.78282828
2025-03-26,79.38537295,25.46536797
2025-03-27,79.87644318,26.62337662
2025-03-28,78.93757,18.25036075
2025-03-29,79.98422487,19.14772727
2025-03-30,81.67310273,22.77417027
2025-03-31,79.29670377,16.94083694
2025-04-01,79.84970434,15.66558442
2025-04-02,81.12360019,19.75829726
2025-04-03,82.41233547,23.32972583
2025-04-04,81.03227037,21.9047619
2025-04-05,78.38744143,18.71572872
2025-04-06,80.39561068,18.68235931
2025-04-07,80.83635859,23.14935065
2025-04-08,80.80194641,28.25036075
2025-04-09,81.24073443,24.37590188
2025-04-10,78.6051849,20.94155844
2025-04-11,79.68863991,22.16810967
2025-04-12,79.8900244,36.82178932
2025-04-13,79.13952571,35.254329
2025-04-14,81.07307806,31.45683021
2025-04-15,80.45307695,37.11038961
2025-04-16,79.62894302,58.50468975
2025-04-17,79.28861228,58.1547619
2025-04-18,79.41900296,55.69760101
