date,value
2025-01-01,19.57806573590028
2025-01-02,19.358377865265197
2025-01-03,19.228408236857444
2025-01-04,19.72712992069036
2025-01-05,20.77371615855378
2025-01-06,20.752302870861744
2025-01-07,19.713065822665275
2025-01-08,20.736885573064352
2025-01-09,19.167441136548987
2025-01-10,19.03946868403879
2025-01-11,18.12814853535882
2025-01-12,20.7421821981729
2025-01-13,18.84732681141364
2025-01-14,20.87463487824765
2025-01-15,19.072654994788795
2025-01-16,21.76947354838806
2025-01-17,21.02238103397158
2025-01-18,19.96048850340687
2025-01-19,20.771504266620298
2025-01-20,19.27518012251098
2025-01-21,18.72505736579274
2025-01-22,19.516610181808467
2025-01-23,20.59378622178055
2025-01-24,18.83604218044864
2025-01-25,19.897056743001595
2025-01-26,19.796485272368553
2025-01-27,19.04421060792074
2025-01-28,18.45009991552189
2025-01-29,20.43139105037046
2025-01-30,16.834672872718983
2025-01-31,21.011511431121082
2025-02-01,20.126963389840874
2025-02-02,20.389773101966007
2025-02-03,19.084634329874174
2025-02-04,17.508435455731686
2025-02-05,19.612059270364647
2025-02-06,19.558665591469357
2025-02-07,18.704286977098565
2025-02-08,20.14920758109287
2025-02-09,17.768733015425
2025-02-10,18.179773103839278
2025-02-11,19.625365856744327
2025-02-12,19.9791998199431
2025-02-13,20.580470911937375
2025-02-14,21.01513655246709
2025-02-15,22.106387751202348
2025-02-16,21.508305197862263
2025-02-17,17.97651589890627
2025-02-18,20.698115430528443
2025-02-19,20.093918155703975
2025-02-20,18.859600475121137
2025-02-21,20.888552374745196
2025-02-22,19.742999091053225
2025-02-23,18.319200438571976
2025-02-24,22.263921139701555
2025-02-25,19.6782297921485
2025-02-26,18.691668092926058
2025-02-27,21.128141254075143
2025-02-28,19.985529569202104
2025-03-01,79.01504841909973
2025-03-02,79.24752014750925
2025-03-03,79.83401939220403
2025-03-04,80.89690385049464
2025-03-05,79.39213035517913
2025-03-06,78.68687455457379
2025-03-07,80.96077921552649
2025-03-08,79.51869732044699
2025-03-09,79.25596713371739
2025-03-10,79.36397860933164
2025-03-11,82.53186014776408
2025-03-12,79.13981524187868
2025-03-13,80.23179402429975
2025-03-14,79.61291138424878
2025-03-15,80.34223592748744
2025-03-16,80.2600435182427
2025-03-17,79.49067390083196
2025-03-18,79.10100477116274
2025-03-19,80.22578799967381
2025-03-20,78.90524477531697
2025-03-21,80.1998556815108
2025-03-22,78.18152532803599
2025-03-23,78.03499064560982
2025-03-24,82.27575605317303
2025-03-25,81.36436577160208
2025-03-26,79.38537294954429
2025-03-27,79.87644318171108
2025-03-28,78.93756999805814
2025-03-29,79.98422487250757
2025-03-30,81.67310272823758
2025-03-31,79.29670376938705
2025-04-01,79.84970434352981
2025-04-02,81.1236001906309
2025-04-03,82.41233547409047
2025-04-04,81.0322703731421
2025-04-05,78.38744142770878
2025-04-06,80.39561068406346
2025-04-07,80.83635858907834
2025-04-08,80.80194641359493
2025-04-09,81.24073443041645
2025-04-10,78.6051849019812
2025-04-11,79.68863991190246
2025-04-12,79.89002440174562
2025-04-13,79.13952571179603
2025-04-14,81.0730780553778
2025-04-15,80.4530769470575
2025-04-16,79.6289430214013
2025-04-17,79.28861228019528
2025-04-18,79.41900296353472
2025-04-19,78.52783061612513
2025-04-20,80.47331038012122
2025-04-21,79.15757257929728
2025-04-22,82.17217310303975
2025-04-23,79.34036011165075
2025-04-24,81.39378022098002
2025-04-25,81.66629254648547
2025-04-26,81.51593599560972
2025-04-27,80.48282477411912
2025-04-28,80.25088623068865
2025-04-29,79.63711008851101
2025-04-30,78.58826699251252
2025-05-01,79.71539911713747
2025-05-02,79.24617409158661
2025-05-03,53.34284467103045
2025-05-04,29.623027730430664
2025-05-05,5.441755162966536
2025-05-06,3.767285065896446
2025-05-07,4.991033294874628
2025-05-08,3.2337453340253695
2025-05-09,4.019646522774108
2025-05-10,4.230861541482225
2025-05-11,4.214574423827963
2025-05-12,5.301666088500605
2025-05-13,5.323265000166473
2025-05-14,5.547395078328126
2025-05-15,5.674582272699895
2025-05-16,4.873686481695365
2025-05-17,7.092535709978831
2025-05-18,5.435890856305407
2025-05-19,4.6637369209067785
2025-05-20,5.089203913609345
2025-05-21,6.010593988823577
2025-05-22,5.506333576404337
2025-05-23,3.6859489718457095
2025-05-24,5.547425345291672
2025-05-25,5.602851644364634
2025-05-26,5.320947526341868
2025-05-27,4.443958760593431
2025-05-28,6.727115970959545
2025-05-29,7.028125843944519
2025-05-30,5.117694167133418
2025-05-31,4.391290029201203
2025-06-01,4.1940743462920755
2025-06-02,4.94723546601515
2025-06-03,5.004142403955756
2025-06-04,5.236481294780744
2025-06-05,4.4502116252468085
2025-06-06,5.823033683484479
2025-06-07,5.577488804275271
2025-06-08,6.996447919345698
2025-06-09,4.4750652916588125
2025-06-10,5.368857362046716
2025-06-11,3.721726307560867
2025-06-12,4.230881703074932
2025-06-13,6.106986763552002
2025-06-14,3.709666835883402
2025-06-15,5.154383966133478
2025-06-16,5.9484290530866915
2025-06-17,5.211720374514596
2025-06-18,5.076041211197329
2025-06-19,4.4540305785698715
2025-06-20,4.367141764240996
2025-06-21,4.191755088745631
2025-06-22,4.422319533350733
2025-06-23,7.145247441023228
2025-06-24,4.7608400637385575
2025-06-25,3.1227867758514014
2025-06-26,4.718724732622525
2025-06-27,4.242064513119756
2025-06-28,6.012296045868999
2025-06-29,4.6030680977624705
2025-06-30,4.435105239875033
